Author,count
Abraham Verghese,2
Adam Gasiewski,1
Adam Mansbach,1
Adir Levy,1
Admiral William H. McRaven,1
Adult Coloring Book Designs,1
Alan Moore,1
Alex Michaelides,1
Alice Schertle,1
Allie Brosh,1
American Psychiatric Association,2
American Psychological Association,10
Amor Towles,1
Amy Ramos,2
Amy Shields,1
Andy Weir,1
Angie Grace,1
Angie Thomas,1
Ann Voskamp,2
Ann Whitford Paul,2
Anthony Bourdain,1
Anthony Doerr,2
Atul Gawande,1
Audrey Niffenegger,1
B. J. Novak,2
Bessel van der Kolk M.D.,1
Bill Martin Jr.,2
Bill O'Reilly,7
Bill Simmons,1
Blue Star Coloring,2
Bob Woodward,1
Brandon Stanton,3
Brené Brown,1
Brian Kilmeade,1
Bruce Springsteen,1
Carol S. Dweck,3
Celeste Ng,1
Charlaine Harris,4
Charles Duhigg,1
Charles Krauthammer,1
Cheryl Strayed,1
Chip Gaines,1
Chip Heath,1
Chris Cleave,1
Chris Kyle,1
Chrissy Teigen,1
Christina Baker Kline,1
Christopher Paolini,1
Coloring Books for Adults,1
Craig Smith,2
Crispin Boyer,1
DK,2
Dale Carnegie,5
Dan Brown,3
Daniel H. Pink,1
Daniel James Brown,2
Daniel Kahneman,2
Daniel Lipkowitz,2
Dav Pilkey,7
Dave Ramsey,1
David Goggins,1
David Grann,1
David McCullough,1
David Perlmutter MD,1
David Platt,2
David Zinczenko,2
Deborah Diesen,2
Delegates of the Constitutional,1
Delia Owens,1
Dinah Bucholz,1
Don Miguel Ruiz,6
Donna Tartt,2
Doug Lemov,2
Dr. Seuss,9
Dr. Steven R Gundry MD,2
Drew Daywalt,3
E L James,6
Eben Alexander,2
Edward Klein,1
Edward M. Kennedy,1
Elie Wiesel,1
Elizabeth Strout,1
Emily Winfield Martin,4
Eric Carle,7
Eric Larson,1
Ernest Cline,2
F. A. Hayek,1
F. Scott Fitzgerald,3
Francis Chan,3
Fredrik Backman,2
Gallup,9
Garth Stein,2
Gary Chapman,11
Gayle Forman,1
Geneen Roth,1
George Orwell,1
George R. R. Martin,2
George R.R. Martin,3
George W. Bush,1
Giles Andreae,5
Gillian Flynn,3
Glenn Beck,3
Golden Books,1
Greg Mortenson,2
Harper Lee,6
Heidi Murkoff,1
Hillary Rodham Clinton,1
Hopscotch Girls,1
Howard Stern,1
Ian K. Smith M.D.,1
Ina Garten,3
J. D. Vance,2
J. K. Rowling,2
J.K. Rowling,6
JJ Smith,1
James Comey,1
James Dashner,1
James Patterson,2
Jay Asher,1
Jaycee Dugard,1
Jeff Kinney,12
Jen Sincero,4
Jennifer Smith,2
Jill Twiss,1
Jim Collins,4
Joanna Gaines,2
Joel Fuhrman MD,2
Johanna Basford,2
John Green,5
John Grisham,5
John Heilemann,1
Jon Meacham,1
Jon Stewart,1
Jonathan Cahn,1
Jordan B. Peterson,1
Julia Child,1
Justin Halpern,1
Kathryn Stockett,4
Keith Richards,1
Ken Follett,1
Kevin Kwan,1
Khaled Hosseini,1
Kristin Hannah,2
Larry Schweikart,1
Laura Hillenbrand,5
Laurel Randolph,2
Lin-Manuel Miranda,1
Lysa TerKeurst,2
M Prefontaine,1
Madeleine L'Engle,1
Malcolm Gladwell,4
Margaret Atwood,1
Margaret Wise Brown,3
Marie Kondō,4
Marjorie Sarnat,2
Mark Hyman M.D.,1
Mark Manson,3
Mark Owen,1
Mark R. Levin,2
Mark Twain,1
Markus Zusak,2
Marty Noble,1
Mary Ann Shaffer,1
Maurice Sendak,1
Melissa Hartwig Urban,3
Michael Lewis,1
Michael Pollan,1
Michael Wolff,1
Michelle Obama,2
Mike Moreno,1
Mitch Albom,1
Muriel Barbery,1
Naomi Kleinberg,2
Nathan W. Pyle,1
National Geographic Kids,1
Neil deGrasse Tyson,1
Paper Peony Press,1
Patrick Lencioni,5
Patrick Thorpe,1
Paul Kalanithi,1
Paula Hawkins,2
Paula McLain,1
Paulo Coelho,1
Pete Souza,1
Peter A. Lillback,1
Phil Robertson,1
Pierre Dukan,1
Pretty Simple Press,1
R. J. Palacio,5
RH Disney,2
Rachel Hollis,3
Raina Telgemeier,1
Randall Munroe,1
Randy Pausch,1
Ray Bradbury,2
Rebecca Skloot,3
Ree Drummond,3
Rick Riordan,11
Rob Bell,1
Rob Elliott,8
Robert Jordan,1
Robert Munsch,2
Rod Campbell,4
Roger Priddy,5
Ron Chernow,1
Rupi Kaur,4
Rush Limbaugh,2
Samin Nosrat,2
Sandra Boynton,2
Sara Gruen,1
Sarah Palin,1
Sarah Young,6
Sasha O'Hara,1
Scholastic,2
School Zone,2
Sherri Duskey Rinker,2
Sheryl Sandberg,2
Silly Bear,1
Stephen Kendrick,1
Stephen King,4
Stephen R. Covey,7
Stephenie Meyer,7
Steve Harvey,1
Steven D. Levitt,1
Stieg Larsson,6
Susan Cain,2
Suzanne Collins,11
Ta-Nehisi Coates,2
Tara Westover,2
Tatiana de Rosnay,1
The College Board,6
The Staff of The Late Show with,1
The Washington Post,1
Thomas Campbell,1
Thomas Piketty,1
Thug Kitchen,4
Timothy Ferriss,2
Tina Fey,1
Todd Burpo,2
Tony Hsieh,1
Tucker Carlson,1
Veronica Roth,4
W. Cleon Skousen,1
Walter Isaacson,3
William Davis,2
William P. Young,2
Wizards RPG Team,3
Zhi Gang Sha,2
